Word In 1882 Line,Words in Replacement Line,Frequency
eye,began,2
tone,might,2
good,merit,2
delightful,merit,2
voice,great,2
thought,subject,2
good,sort,2
isabel,conscious,2
however,instant,2
even,small,2
way,note,2
way,small,2
simply,small,2
something,making,2
upon,made,2
nothing,question,2
said,made,2
silent,keep,2
touchett,english,2
touchett,neighbour,2
cordiality,english,2
cordiality,neighbour,2
warburton,relation,2
warburton,english,2
warburton,established,2
gave,english,2
gave,neighbour,2
met,english,2
met,neighbour,2
lord,relation,2
lord,english,2
lord,established,2
greeting,english,2
greeting,neighbour,2
undemonstrative,english,2
undemonstrative,neighbour,2
sign,english,2
sign,neighbour,2
laughing,laughed,2
way,pleasure,2
glad,pleasure,2
little,pleasure,2
vaguely,complication,2
already,affected,2
already,complication,2
good,complication,2
good,light,2
good,right,2
made,affected,2
made,complication,2
conviction,complication,2
add,complication,2
uneasy,complication,2
fellow,affected,2
fellow,complication,2
fellow,light,2
away,move,2
smiling,returned,2
gentleman,companion,2
able,take,2
osmond,isabel,2
mr.,isabel,2
perhaps,appeared,2
asked,young,2
isabel,replying,2
said,replying,2
said,referred,2
good,grave,2
good,thought,2
good,awfully,2
good,find,2
good,want,2
good,went,2
florence,awfully,2
florence,find,2
florence,want,2
might,must,2
might,awfully,2
might,find,2
might,want,2
attention,awfully,2
attention,find,2
attention,want,2
party,awfully,2
party,find,2
party,want,2
church,awfully,2
church,find,2
church,want,2
hesitated,awfully,2
hesitated,find,2
hesitated,want,2
hesitated,instant,2
fellow,find,2
fellow,want,2
isabel,grave,2
isabel,awfully,2
isabel,want,2
isabel,replied,2
isabel,added,2
till,awfully,2
till,find,2
till,want,2
silent,awfully,2
silent,find,2
silent,want,2
silent,nothing,2
silent,silence,2
men,awfully,2
men,find,2
men,want,2
think,awfully,2
think,find,2
think,want,2
think,well,2
woman,awfully,2
woman,find,2
woman,want,2
last,awfully,2
last,find,2
last,want,2
last,went,2
also,awfully,2
also,find,2
also,want,2
ellows,awfully,2
ellows,find,2
ellows,want,2
conversation,awfully,2
conversation,find,2
conversation,want,2
continued,awfully,2
continued,find,2
continued,want,2
continued,went,2
far,awfully,2
far,find,2
far,want,2
turned,awfully,2
turned,find,2
turned,want,2
naã¯vetã©,awfully,2
naã¯vetã©,find,2
naã¯vetã©,want,2
smiling,awfully,2
smiling,find,2
smiling,want,2
gentleman,awfully,2
gentleman,find,2
gentleman,want,2
gentleman,took,2
however,thought,2
however,awfully,2
however,find,2
however,want,2
consoled,awfully,2
consoled,find,2
consoled,want,2
choir,awfully,2
choir,find,2
choir,want,2
way,find,2
way,want,2
broken,awfully,2
broken,find,2
broken,want,2
round,awfully,2
round,find,2
round,want,2
lending,awfully,2
lending,find,2
lending,want,2
concerned,awfully,2
concerned,find,2
concerned,want,2
remained,awfully,2
remained,find,2
remained,want,2
english,thought,2
english,awfully,2
english,find,2
english,want,2
proceed,awfully,2
proceed,find,2
proceed,want,2
strain,awfully,2
strain,find,2
strain,want,2
lover,awfully,2
lover,find,2
lover,want,2
like,find,2
like,want,2
like,nothing,2
like,added,2
presently,awfully,2
presently,find,2
presently,want,2
noble,awfully,2
noble,find,2
noble,want,2
interrupted,awfully,2
interrupted,find,2
interrupted,want,2
left,awfully,2
left,find,2
left,want,2
pursued,awfully,2
pursued,find,2
pursued,want,2
thought,struck,2
tragical,tragic,2
like,friend,2
like,think,2
said,',2
fellow,know,2
say,might,2
point,isabel,2
point,pleasure,2
good,ever,2
feel,almost,2
difficult,pleasure,2
osmond,much,2
osmond,touch,2
osmond,pleasure,2
gilbert,pleasure,2
indeed,pleasure,2
touchett,pleasure,2
excellent,touch,2
manner,touch,2
manner,pleasure,2
never,hand,2
never,thing,2
sort,peculiar,2
none,proof,2
osmond,master,2
glass,style,2
told,unnoticed,2
told,rarity,2
told,enjoying,2
told,affected,2
told,swallowing,2
told,watchful,2
told,help,2
told,beer,2
told,museum,2
told,proof,2
told,trouble,2
told,mug,2
told,wall,2
told,stand,2
told,identified,2
told,high,2
told,world,2
told,drawing,2
told,peculiar,2
told,publish,2
told,style,2
told,detestable,2
told,without,2
told,master,2
told,beside,2
told,hand,2
told,conscious,2
told,discovered,2
told,sudden,2
told,anonymous,2
told,advertise,2
told,pleasure,2
told,marked,2
recognised,unnoticed,2
recognised,rarity,2
recognised,enjoying,2
recognised,affected,2
recognised,swallowing,2
recognised,watchful,2
recognised,help,2
recognised,beer,2
recognised,museum,2
recognised,proof,2
recognised,trouble,2
recognised,mug,2
recognised,wall,2
recognised,stand,2
recognised,identified,2
recognised,high,2
recognised,world,2
recognised,drawing,2
